States/Uts,Total Villages,Cumulative,% ElercT.,Cumulative March 2008,% ElercT. March 2008,Cumulative on March 2009,% ElercT. March 2009,Cumulative on March 2010,% ElercT. March 2010,Cumulative on March 2011,% ElercT. March 2011,Cumulative on March 2012,% ElercT. March 2012
Andhra Pradesh,26613 ,26613 ,100.00 ,26613 ,100.00 ,26613 ,100.00 ,26613 ,100.00 ,26613 ,100.00 ,26613,100.00 
Arunachal Pradesh,3863 ,2195 ,56.82 ,2195 ,56.82 ,2195 ,56.82 ,2195 ,56.82 ,2256 ,58.40 ,2917,75.51 
Assam,25124 ,19741 ,78.57 ,19741 ,78.57 ,19741 ,78.57 ,19741 ,78.57 ,22845 ,90.93 ,24156,96.15 
Bihar,39015 ,20620 ,52.85 ,20620 ,52.85 ,23914 ,61.29 ,23914 ,61.29 ,30237 ,77.50 ,35062,89.87 
Chattisgarh,19744 ,18830 ,95.37 ,18877 ,95.61 ,18877 ,95.61 ,18877 ,95.61 ,19177 ,97.13 ,19181,97.15 
Goa,347 ,347 ,100.00 ,347 ,100.00 ,347 ,100.00 ,347 ,100.00 ,347 ,100.00 ,347,100.00 
Gujarat,18066 ,17986 ,99.56 ,17993 ,99.60 ,18015 ,99.72 ,18015 ,99.72 ,18029 ,99.80 ,18029,99.80 
Haryana,6764 ,6764 ,100.00 ,6764 ,100.00 ,6764 ,100.00 ,6764 ,100.00 ,6764 ,100.00 ,6764,100.00 
Himachal Pradesh,17495 ,17169 ,98.14 ,17183 ,98.22 ,17183 ,98.22 ,17183 ,98.22 ,17412 ,99.53 ,17466,99.83 
Jharkhand,29354 ,9119 ,31.07 ,9119 ,31.07 ,9119 ,31.07 ,9119 ,31.07 ,25966 ,88.46 ,26190,89.22 
Jammu and Kashmir,6417 ,6304 ,98.24 ,6304 ,98.24 ,6304 ,98.24 ,6304 ,98.24 ,6304 ,98.24 ,6304,98.24 
Karnataka,27481 ,27125 ,98.70 ,27126 ,98.71 ,27458 ,99.92 ,27458 ,99.92 ,27466 ,99.95 ,27468,99.95 
Kerala,1364 ,1364 ,100.00 ,1364 ,100.00 ,1364 ,100.00 ,1364 ,100.00 ,1364 ,100.00 ,1364,100.00 
Madhya Pradesh,52117 ,50213 ,96.35 ,50213 ,96.35 ,50231 ,96.38 ,50231 ,96.38 ,50605 ,97.10 ,50678,97.24 
Maharashtra,41095 ,36038 ,87.69 ,36296 ,88.32 ,36296 ,88.32 ,36296 ,88.32 ,41000 ,99.77 ,41059,99.91 
Manipur,2315 ,1942 ,83.89 ,1966 ,84.92 ,1997 ,86.26 ,1997 ,86.26 ,1997 ,86.26 ,1997,86.26 
Meghalaya,5782 ,3428 ,59.29 ,3428 ,59.29 ,3428 ,59.29 ,3428 ,59.29 ,3842 ,66.45 ,4425,76.53 
Mizoram,707 ,570 ,80.62 ,570 ,80.62 ,570 ,80.62 ,570 ,80.62 ,623 ,88.12 ,657,92.93 
Nagaland,1278 ,823 ,64.40 ,823 ,64.40 ,823 ,64.40 ,823 ,64.40 ,866 ,67.76 ,896,70.11 
Orissa,47529 ,26535 ,55.83 ,26535 ,55.83 ,29735 ,62.56 ,29735 ,62.56 ,36349 ,76.48 ,37500,78.90 
Punjab,12278 ,12278 ,100.00 ,12278 ,100.00 ,12278 ,100.00 ,12278 ,100.00 ,12278 ,100.00 ,12278,100.00 
Rajasthan,39753 ,26676 ,67.10 ,27155 ,68.31 ,28253 ,71.07 ,28253 ,71.07 ,37785 ,95.05 ,38246,96.21 
Sikkim,450 ,425 ,94.44 ,425 ,94.44 ,425 ,94.44 ,425 ,94.44 ,425 ,94.44 ,450,100.00 
Tamil Nadu,15400 ,15400 ,100.00 ,15400 ,100.00 ,15400 ,100.00 ,15400 ,100.00 ,15400 ,100.00 ,15400,100.00 
Tripura,858 ,491 ,57.23 ,491 ,57.23 ,491 ,57.23 ,491 ,57.23 ,569 ,66.32 ,611,71.21 
Uttar Pradesh,97942 ,83558 ,85.31 ,86316 ,88.13 ,86450 ,88.27 ,86450 ,88.27 ,86450 ,88.27 ,86450,88.27 
Uttarakhand,15761 ,15055 ,95.52 ,15213 ,96.52 ,15213 ,96.52 ,15213 ,96.52 ,15593 ,98.93 ,15593,98.93 
West Bengal,37945 ,34555 ,91.07 ,36380 ,95.88 ,37756 ,99.50 ,37756 ,99.50 ,37762 ,99.52 ,37819 ,99.67 
Total (States),592857,482164,81.33 ,487735,82.27 ,497240,83.87 ,497240,83.87 ,546324,92.15 ,555920,93.77 
Total (UTs),875 ,542 ,61.94 ,542 ,61.94 ,710 ,81.14 ,710 ,81.14 ,710 ,81.14 ,713 ,81.49 
Total (States + UTs),593732,482706,81.30 ,488277,82.27 ,497950 ,83.87 ,497950 ,83.87 ,547034 ,92.13 ,556633 ,93.75 
