Categories,States,2009-10 (Actual),2010-11 (Actual),2011-12 (Prov.),2012-13 (RE),2013-14 (AP)
I. SPUs,Andhra Pradesh,30.53,26.75,28.48,31.58,27.09
I. SPUs,Assam,0.84,0.78,0.78,0.84,0.73
I. SPUs,Bihar,13.09,6.33,5.42,6.07,6.11
I. SPUs,Chhattisgarh,13.15,12.62,15.6,15.34,11.1
I. SPUs,Delhi,0.34,0.23,0.2,NA,NA
I. SPUs,Gujarat,27.97,26.52,25.41,25.12,24.71
I. SPUs,Haryana,38.96,32.4,31.96,25.9,22.55
I. SPUs,Himachal Pradesh,0.44,0.4,0.42,0.41,0.4
I. SPUs,Jammu and Kashmir,7.7,4.9,3.3,3.8,3.81
I. SPUs,Jharkhand,1.14,1.01,1,0.97,0.86
I. SPUs,Karnataka,35.18,34.83,37.46,37.51,37.05
I. SPUs,Kerala,1.83,1.58,1.79,1.71,1.61
I. SPUs,Madhya Pradesh,29.96,30.62,31.44,35.3,33.68
I. SPUs,Maharashtra,21.78,22.71,26.97,24.63,27.02
I. SPUs,Meghalaya,0.06,0.03,0.03,0.03,0.03
I. SPUs,Odisha,1.23,1.36,1.25,NA,NA
I. SPUs,Punjab,32.5,30.32,29.27,30.29,30.14
I. SPUs,Rajasthan,38.52,38.26,39.8,39.87,40.32
I. SPUs,Tamil Nadu,21.51,16.02,16.54,15.67,12.83
I. SPUs,Uttar Pradesh,17.39,17.26,17.31,17.16,16.29
I. SPUs,Uttarakhand,4.77,4.08,3.94,4.06,4.06
I. SPUs,West Bengal,6.72,8.35,5.84,5.05,6.47
II EDs,Arunachal Pradesh,0,0,0,0,0
II EDs,Goa,0.55,0.56,0.6,0.6,0.61
II EDs,Manipur,0.28,0.22,0.19,0.22,0.22
II EDs,Mizoram,0.22,0.04,0.03,0.03,0.03
II EDs,Nagaland,0.01,0.01,0.01,0.01,0.01
II EDs,Puducherry,3.58,3.1,1.99,1.96,1.88
II EDs,Sikkim,0,0,0,0,0
II EDs,Tripura,4.93,3.86,3.01,1.48,1.08
