States,2009-10 (Actual),2010-11 (Actual),2011-12 (Prov.),2012-13 (RE),2013-14 (AP)
Andhra Pradesh,29.44,31.4,31.93,28.59,30.96
Assam,33.21,30.31,31.45,33.07,28.95
Bihar,27.48,28.13,24.99,27.96,28.15
Chhatishgarh,38.36,42.99,39.64,38.2,28.82
Delhi,32.32,26.55,24.03,NA,NA
Gujarat,37.9,38.89,41.83,43.05,43.84
Haryana,25.9,26.32,25.88,26.97,26.28
Himachal Pradesh,50.67,50.26,50.66,51.68,52.6
Jammu and Kashmir,22.33,20.21,19.91,17.84,17.77
Jharkhand,36.43,33.92,35.87,35.38,32.16
Karnataka,22.22,22.71,21.73,22.01,22.37
Kerala,31.9,31.45,30.83,30.47,29.75
Madhya Pradesh,25.07,26.28,25.65,24.08,20.5
Maharashtra,41.84,40.38,38.03,37.72,36.71
Meghalaya,47.88,43.78,44,43.51,49.31
Orissa,52.7,51.58,49.95,NA,NA
Punjab,34.02,33.25,33.39,33.4,32.27
Rajasthan,25.76,27.19,26.34,25.53,25.22
Tamil Nadu,31.93,35.85,35.88,31.23,31.92
Uttar Pradesh,20.88,22.46,23.41,24.44,24.23
Uttrakhand,54.39,57.89,58.23,57.94,57.93
West Bengal,29.09,29.27,31.68,27.58,30.76
Arunachal Pradesh,17.69,17.54,30.59,37.63,29.63
Goa,43.8,45.36,44.9,47.34,48.98
Manipur,3.02,3.53,6.82,6.93,7.02
Mizoram,0.76,0.59,0.66,0.66,0.62
Nagaland,3.64,2.92,3.68,3.69,4.09
Ponicherry,59,56.67,52.68,53.71,54.02
Sikkim,20.16,20.36,10.27,10.49,9.91
Tripura,3.81,3.22,3.34,5.63,4.1
