Categories,States,2009-10 (Actual),2010-11 (Actual),2011-12 (Prov.),2012-13 (RE),2013-14 (AP)
I. SPUs,Andhra Pradesh,2.54,2.42,2.42,2.44,2.02
I. SPUs,Assam,0,0,0,0,0
I. SPUs,Bihar,7.33,7.46,8.03,8.98,9.04
I. SPUs,Chhatishgarh,5.28,5.85,5.64,4.86,3.53
I. SPUs,Delhi,0.93,2.8,0.68,NA,NA
I. SPUs,Gujarat,1.4,1.32,1.27,1.29,1.17
I. SPUs,Haryana,2.09,2.1,1.9,1.86,1.59
I. SPUs,Himachal Pradesh,0,0,0,0,0
I. SPUs,Jammu and Kashmir,0,0,0,0,0
I. SPUs,Jharkhand,10.42,9.03,9.87,9.4,8.52
I. SPUs,Karnataka,0,0,0,0,0
I. SPUs,Kerala,1.17,1.07,0.97,0.95,0.9
I. SPUs,Madhya Pradesh,7.13,6.57,5.99,5.02,3.54
I. SPUs,Maharashtra,1.99,1.82,1.65,1.63,1.62
I. SPUs,Meghalaya,0,0,0,0,0
I. SPUs,Orissa,6.13,6.09,4.72,NA,NA
I. SPUs,Punjab,0.45,0.43,0.39,0.37,0.36
I. SPUs,Rajasthan,1.12,0.95,0.98,1.05,1.05
I. SPUs,Tamil Nadu,0,0,0,0,0
I. SPUs,Uttar Pradesh,1.54,1.68,1.4,1.3,1.21
I. SPUs,Uttrakhand,0.12,0.11,0.1,0.1,0.1
I. SPUs,West Bengal,4.07,3.94,4.06,3.42,3.7
II EDs,Arunachal Pradesh,0,0,0,0,0
II EDs,Goa,0,0,0,0,0
II EDs,Manipur,0,0,0,0,0
II EDs,Mizoram,0,0,0,0,0
II EDs,Nagaland,0,0,0,0,0
II EDs,Ponicherry,0,0,0,0,0
II EDs,Sikkim,0,0,0,0,0
II EDs,Tripura,0,0,0,0,0
