"Sl. No.","States/ UTs","Wind Power (MW) 2013","Small Hydro Power (MW) 2013","Bio-Energy - Biomass Power (MW) 2013","Bio-Energy - Bagase Cogeneration (MW)","Bio-Energy - Waste To Energy (MW)","Total (MW) 2013"
"1","Andhra Pradesh","14497","978","578","300","123","16476"
"2","Arunachal Pradesh","236","1341","8","NA","NA","1586"
"3","Assam","112","239","212","NA","8","570"
"4","Bihar ","144","223","619","300","73","1359"
"5","Chhatisgarh","314","1107","236","NA","24","1681"
"6","Goa","NA","7","26","NA","NA","32"
"7","Gujarat","35071","202","1221","350","112","36956"
"8","Haryana","93","110","1333","350","24","1910"
"9","Himachal Pradesh","64","2398","142","NA","2","2606"
"10","Jammu & Kashmir","5685","1431","43","NA","NA","7158"
"11","Jharkhand","91","209","90","NA","10","400"
"12","Karnataka","13593","4141","1131","450","                                                                                                                                         ","19315"
"13","Kerala","837","704","1044","NA","36","2622"
"14","Madhya Pradesh ","2931","820","1364","NA","78","5193"
"15","Maharashtra","5961","794","1887","1250","287","10180"
"16","Manipur","56","109","13","NA","2","181"
"17","Meghalaya","82","230","11","NA","2","325"
"18","Mizoram","NA","169","1","NA","2","171"
"19","Nagaland","16","197","10","NA","NA","223"
"20","Orissa","1384","295","246","NA","22","1948"
"21","Punjab","NA","441","3172","300","45","3958"
"22","Rajasthan","5050","57","1039","NA","62","6208"
"23","Sikkim","98","267","2","NA","NA","367"
"24","Tamil Nadu","14152","660","1070","450","151","16482"
"25","Tripura","NA","47","3","NA","2","51"
"26","Uttar Pradesh","1260","461","1617","1250","176","4763"
"27","Uttarakhandl","534","1708","24","NA","5","2271"
"28","West Bengal ","22","396","396","NA","148","962"
"29","Andaman & Nicobar","365","8","NA","NA","NA","373"
"30","Chandigarh","NA","NA","NA","NA","6","6"
"31","Dadar & Nagar Haveli","NA","NA","NA","NA","NA","0"
"32","Daman & Diu","4","NA","NA","NA","NA","4"
"33","Delhi","NA","NA","NA","NA","131","131"
"34","Lakshwadeep","NA","NA","NA","NA","NA","0"
"35","Pondicherry","120","NA","NA","NA","3","123"
"36","Others ","NA","NA","NA","NA","1022","1022"
